"filename", "language", "Dart", "comment", "blank", "total"
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/custome_image.dart", "Dart", 41, 0, 3, 44
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/custome_space.dart", "Dart", 12, 0, 3, 15
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/default_button_with_riple.dart", "Dart", 72, 0, 2, 74
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/empty.dart", "Dart", 34, 0, 3, 37
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/error_dialog.dart", "Dart", 8, 0, 3, 11
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/favorite_button.dart", "Dart", 81, 0, 4, 85
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/form_error.dart", "Dart", 29, 0, 4, 33
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/header.dart", "Dart", 111, 0, 4, 115
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/header_with_back.dart", "Dart", 40, 0, 3, 43
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/list_background.dart", "Dart", 33, 0, 3, 36
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/modal_inside_model.dart", "Dart", 80, 5, 6, 91
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/pink_button.dart", "Dart", 46, 0, 4, 50
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/side_menu.dart", "Dart", 167, 19, 11, 197
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/song_widgets/shimer.dart/song_image_shimer.dart/song_image_horizantal.dart", "Dart", 17, 0, 3, 20
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/song_widgets/shimer.dart/song_image_shimer.dart/song_image_shimer_home.dart", "Dart", 0, 0, 1, 1
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/song_widgets/shimer.dart/song_image_shimer.dart/song_image_vertical.dart", "Dart", 18, 0, 3, 21
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/song_widgets/shimer.dart/song_shimer_home.dart", "Dart", 0, 0, 2, 2
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/song_widgets/shimer.dart/song_shimer_horizantal.dart", "Dart", 119, 0, 6, 125
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/song_widgets/shimer.dart/song_shimer_vertical.dart", "Dart", 183, 10, 13, 206
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/song_widgets/song_widget_home.dart", "Dart", 84, 21, 9, 114
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/song_widgets/song_widget_horizantal.dart", "Dart", 139, 26, 5, 170
